2024/08/24 04:26:30 PM > ep 204 done. total_steps=18387 | reward=-44 | episode_steps=57 | hours=0.046 | epsilon=0.459
2024/08/24 04:26:31 PM > ep 205 done. total_steps=18478 | reward=-10 | episode_steps=91 | hours=0.046 | epsilon=0.457
2024/08/24 04:26:32 PM > ep 206 done. total_steps=18586 | reward=7 | episode_steps=108 | hours=0.047 | epsilon=0.455
2024/08/24 04:26:33 PM > ep 207 done. total_steps=18714 | reward=27 | episode_steps=128 | hours=0.047 | epsilon=0.453
2024/08/24 04:26:34 PM > ep 208 done. total_steps=18781 | reward=-34 | episode_steps=67 | hours=0.047 | epsilon=0.452
2024/08/24 04:26:35 PM > ep 209 done. total_steps=18880 | reward=-2 | episode_steps=99 | hours=0.048 | epsilon=0.450
2024/08/24 04:26:35 PM > ep 210 done. total_steps=18956 | reward=-25 | episode_steps=76 | hours=0.048 | epsilon=0.449
2024/08/24 04:26:36 PM > ep 211 done. total_steps=19042 | reward=-15 | episode_steps=86 | hours=0.048 | epsilon=0.447
2024/08/24 04:26:37 PM > ep 212 done. total_steps=19169 | reward=26 | episode_steps=127 | hours=0.048 | epsilon=0.445
2024/08/24 04:26:38 PM > ep 213 done. total_steps=19250 | reward=-20 | episode_steps=81 | hours=0.049 | epsilon=0.444
2024/08/24 04:26:39 PM > ep 214 done. total_steps=19341 | reward=-10 | episode_steps=91 | hours=0.049 | epsilon=0.442
2024/08/24 04:26:40 PM > ep 215 done. total_steps=19410 | reward=-32 | episode_steps=69 | hours=0.049 | epsilon=0.441
2024/08/24 04:26:41 PM > ep 216 done. total_steps=19529 | reward=18 | episode_steps=119 | hours=0.049 | epsilon=0.439
